Roles	Description	Privileges
IoT Hub Registry Contributor	Allows for full access to IoT Hub device registry.	No
IoT Hub Data Contributor	Allows for full access to IoT Hub data plane operations.	No
Test Base Reader	Let you view and download packages and test results.	Yes
Search Index Data Reader	Grants read access to Azure Cognitive Search index data.	No
Search Index Data Contributor	Grants full access to Azure Cognitive Search index data.	No
Storage Table Data Reader	Allows for read access to Azure Storage tables and entities	Yes
Storage Table Data Contributor	Allows for read, write and delete access to Azure Storage tables and entities	Yes
DICOM Data Reader	Read and search DICOM data.	No
DICOM Data Owner	Full access to DICOM data.	No
EventGrid Data Sender	Allows send access to event grid events.	Yes
Disk Pool Operator	Used by the StoragePool Resource Provider to manage Disks added to a Disk Pool.	Yes
AzureML Data Scientist	Can perform all actions within an Azure Machine Learning workspace, except for creating or deleting compute resources and modifying the workspace itself.	Yes
Grafana Admin	Manage server-wide settings and manage access to resources such as organizations, users, and licenses.	No
Azure Connected SQL Server Onboarding	Microsoft.AzureArcData service role to access the resources of Microsoft.AzureArcData stored with RPSAAS.	Yes
Azure Relay Sender	Allows for send access to Azure Relay resources.	Yes
Azure Relay Owner	Allows for full access to Azure Relay resources.	Yes
Azure Relay Listener	Allows for listen access to Azure Relay resources.	Yes
Grafana Viewer	View dashboards, playlists, and query data sources.	No
Grafana Editor	Create, edit, delete, or view dashboards; create, edit, or delete folders; and edit or view playlists.	No
Automation Contributor	Manage azure automation resources and other resources using azure automation.	Yes
Kubernetes Extension Contributor	Can create, update, get, list and delete Kubernetes Extensions, and get extension async operations	Yes
Device Provisioning Service Data Reader	Allows for full read access to Device Provisioning Service data-plane properties.	No
Device Provisioning Service Data Contributor	Allows for full access to Device Provisioning Service data-plane operations.	No
Artifact Signing Certificate Profile Signer	Sign files with a certificate profile.	Yes
Azure Spring Cloud Service Registry Reader	Allow read access to Azure Spring Cloud Service Registry	No
Azure Spring Cloud Service Registry Contributor	Allow read, write and delete access to Azure Spring Cloud Service Registry	No
Azure Spring Cloud Config Server Reader	Allow read access to Azure Spring Cloud Config Server	No
Azure Spring Cloud Config Server Contributor	Allow read, write and delete access to Azure Spring Cloud Config Server	No
Azure VM Managed identities restore Contributor	Azure VM Managed identities restore Contributors are allowed to perform Azure VM Restores with managed identities both user and system	Yes
Azure Maps Search and Render Data Reader	Grants access to very limited set of data APIs for common visual web SDK scenarios. Specifically, render and search data APIs.	No
Azure Maps Contributor	Grants access all Azure Maps resource management.	Yes
Azure Arc VMware VM Contributor	Arc VMware VM Contributor has permissions to perform all VM actions.	Yes
Azure Arc VMware Private Cloud User	Azure Arc VMware Private Cloud User has permissions to use the VMware cloud resources to deploy VMs.	Yes
Azure Arc VMware Administrator role 	Arc VMware VM Contributor has permissions to perform all connected VMwarevSphere actions.	Yes
Cognitive Services LUIS Owner	 Has access to all Read, Test, Write, Deploy and Delete functions under LUIS	Yes
Cognitive Services Language Reader	Has access to Read and Test functions under Language portal	Yes
Cognitive Services Language Writer	 Has access to all Read, Test, and Write functions under Language Portal	Yes
Cognitive Services Language Owner	Has access to all Read, Test, Write, Deploy and Delete functions under Language portal	Yes
Cognitive Services LUIS Reader	Has access to Read and Test functions under LUIS.	Yes
Cognitive Services LUIS Writer	Has access to all Read, Test, and Write functions under LUIS	Yes
PlayFab Reader	Provides read access to PlayFab resources	Yes
Load Test Contributor	View, create, update, delete and execute load tests. View and list load test resources but can not make any changes.	Yes
Load Test Owner	Execute all operations on load test resources and load tests	Yes
PlayFab Contributor	Provides contributor access to PlayFab resources	Yes
Load Test Reader	View and list all load tests and load test resources but can not make any changes	Yes
Cognitive Services Immersive Reader User	Provides access to create Immersive Reader sessions and call APIs	No
Lab Services Contributor	The lab services contributor role	Yes
Lab Services Reader	The lab services reader role	Yes
Lab Assistant	The lab assistant role	Yes
Lab Operator	The lab operator role	Yes
Lab Contributor	The lab contributor role	Yes
Security Admin	Security Admin Role	Yes
Web PubSub Service Owner	Full access to Azure Web PubSub Service REST APIs	No
Web PubSub Service Reader	Read-only access to Azure Web PubSub Service REST APIs	No
SignalR App Server	Lets your app server access SignalR Service with AAD auth options.	No
Virtual Machine User Login	View Virtual Machines in the portal and login as a regular user.	Yes
Virtual Machine Administrator Login	View Virtual Machines in the portal and login as administrator	Yes
Azure Connected Machine Resource Administrator	Can read, write, delete and re-onboard Azure Connected Machines.	Yes
Backup Operator	Lets you manage backup services, except removal of backup, vault creation and giving access to others	Yes
Workbook Contributor	Can save shared workbooks.	Yes
Workbook Reader	Can read workbooks.	Yes
Monitoring Contributor	Can read all monitoring data and update monitoring settings.	Yes
Monitoring Metrics Publisher	Enables publishing metrics against Azure resources	Yes
Purview role 1 (Deprecated)	Deprecated role.	Yes
Purview role 2 (Deprecated)	Deprecated role.	Yes
Purview role 3 (Deprecated)	Deprecated role.	Yes
Autonomous Development Platform Data Contributor (Preview)	Grants permissions to upload and manage new Autonomous Development Platform measurements.	Yes
Autonomous Development Platform Data Owner (Preview)	Grants full access to Autonomous Development Platform data.	Yes
Autonomous Development Platform Data Reader (Preview)	Grants read access to Autonomous Development Platform data.	Yes
Key Vault Crypto Officer	Perform any action on the keys of a key vault, except manage permissions. Only works for key vaults that use the 'Azure role-based access control' permission model.	Yes
Device Update Deployments Reader	Gives you read access to management operations, but does not allow making changes	Yes
Device Update Deployments Administrator	Gives you full access to management operations	Yes
Azure Arc VMware Private Clouds Onboarding	Azure Arc VMware Private Clouds Onboarding role has permissions to provision all the required resources for onboard and deboard vCenter instances to Azure.	Yes
Microsoft Sentinel Automation Contributor	Microsoft Sentinel Automation Contributor	Yes
CDN Endpoint Reader	Can view CDN endpoints, but can't make changes.	Yes
Cognitive Services Speech User	Access to the real-time speech recognition and batch transcription APIs, real-time speech synthesis and long audio APIs, as well as to read the data/test/model/endpoint for custom models, but can’t create, delete or modify the data/test/model/endpoint for custom models.	Yes
Windows Admin Center Administrator Login	Let's you manage the OS of your resource via Windows Admin Center as an administrator.	Yes
Azure Kubernetes Service Policy Add-on Deployment	Deploy the Azure Policy add-on on Azure Kubernetes Service clusters	Yes
Guest Configuration Resource Contributor	Lets you read, write Guest Configuration Resource.	Yes
Domain Services Reader	Can view Azure AD Domain Services and related network configurations	Yes
Domain Services Contributor	Can manage Azure AD Domain Services and related network configurations	Yes
DNS Resolver Contributor	Lets you manage DNS resolver resources.	Yes
Azure Arc Enabled Kubernetes Cluster User Role	List cluster user credentials action.	Yes
Data Operator for Managed Disks	Provides permissions to upload data to empty managed disks, read, or export data of managed disks (not attached to running VMs) and snapshots using SAS URIs and Azure AD authentication.	No
AgFood Platform Sensor Partner Contributor	Provides contribute access to manage sensor related entities in AgFood Platform Service	No
Compute Gallery Sharing Admin	This role allows user to share gallery to another subscription/tenant or share it to the public.	Yes
Scheduled Patching Contributor	Provides access to manage maintenance configurations with maintenance scope InGuestPatch and corresponding configuration assignments	Yes
DevCenter Dev Box User	Provides access to create and manage dev boxes.	Yes
DevCenter Project Admin	Provides access to manage project resources.	Yes
Virtual Machine Local User Login	View Virtual Machines in the portal and login as a local user configured on the arc server	Yes
Azure Arc ScVmm Private Clouds Onboarding	Azure Arc ScVmm Private Clouds Onboarding role has permissions to provision all the required resources for onboard and deboard vmm server instances to Azure.	Yes
Azure Arc ScVmm VM Contributor	Arc ScVmm VM Contributor has permissions to perform all VM actions.	Yes
Azure Arc ScVmm Private Cloud User	Azure Arc ScVmm Private Cloud User has permissions to use the ScVmm resources to deploy VMs.	Yes
Azure Arc ScVmm Administrator role	Arc ScVmm VM Administrator has permissions to perform all ScVmm actions.	Yes
HDInsight on AKS Cluster Admin	Grants a user/group the ability to create, delete and manage clusters within a given cluster pool. Cluster Admin can also run workloads, monitor, and manage all user activity on these clusters.	Yes
HDInsight on AKS Cluster Pool Admin	Can read, create, modify and delete HDInsight on AKS cluster pools and create clusters	Yes
FHIR Data Importer	Role allows user or principal to read and import FHIR Data	No
HDInsight on AKS Cluster Operator	Grants a user/group the ability to read cluster configurations, resize clusters and run jobs	Yes
API Management Developer Portal Content Editor	Can customize the developer portal, edit its content, and publish it.	Yes
